timestamp,state,front_dist,closest_angle,closest_dist,current_offset_px,steering
1784172410.168506,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172410.1916177,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172410.1982336,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172410.207756,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172410.2158563,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172410.2186203,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172410.2240267,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172410.2357104,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172410.2429538,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172410.2429538,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172410.2552092,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172410.2562373,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172410.2562373,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172410.273739,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172410.277799,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172410.2825968,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172410.2886283,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172410.2918391,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172410.2981787,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172410.3039987,NORMAL,1.5,0.0,1.5,0.0,0.0
