timestamp,fps,left_conf,center_conf,right_conf,lane_width_m,lateral_error_m,heading_error_deg,curvature,lookahead_m,target_speed,actual_speed,steer_raw,steer_filtered,tracking_state,reconstruction_method
1786451342.212,0.5,0.884,0.867,0.000,0.5980,0.0483,-4.41,0.37160,0.163,0.400,0.000,0.8150,0.8531,TRACKING,L+C
1786451342.439,0.5,0.881,0.866,0.000,0.5981,0.0483,-3.48,0.44963,0.155,0.400,0.000,0.8596,0.8972,TRACKING,L+C
1786451342.683,0.5,0.878,0.866,0.000,0.6018,0.0554,-2.80,0.47100,0.153,0.400,0.000,0.9312,0.9713,TRACKING,L+C
1786451342.924,0.5,0.885,0.866,0.000,0.5890,0.0366,-4.10,0.34162,0.166,0.400,0.000,0.6641,0.6956,TRACKING,L+C
1786451343.144,0.5,0.894,0.861,0.000,0.5795,0.0207,-4.56,0.31842,0.168,0.400,0.000,0.4779,0.5024,TRACKING,L+C
1786451343.359,4.4,0.902,0.861,0.000,0.5639,0.0085,-3.61,0.34635,0.165,0.400,0.000,0.3037,0.3211,TRACKING,L+C
1786451343.633,4.4,0.910,0.861,0.952,0.5239,-0.0052,-2.91,0.37868,0.162,0.400,0.000,0.0924,0.1026,TRACKING,L+C+R_fused
1786451343.910,4.4,0.908,0.863,0.951,0.5149,-0.0112,-4.38,0.31287,0.169,0.400,0.000,0.0431,0.0521,TRACKING,L+C+R_fused
1786451344.184,4.4,0.900,0.866,0.953,0.5220,-0.0036,-5.85,0.21271,0.179,0.400,0.000,0.2483,0.2621,TRACKING,L+C+R_fused
1786451344.402,3.8,0.888,0.865,0.000,0.5723,0.0228,-5.04,0.26704,0.173,0.400,0.000,0.5555,0.5810,TRACKING,L+C
1786451344.618,3.8,0.885,0.872,0.000,0.5754,0.0346,-5.61,0.25006,0.175,0.400,0.000,0.6823,0.7141,TRACKING,L+C
1786451344.843,3.8,0.876,0.875,0.000,0.5961,0.0493,-3.30,0.36907,0.163,0.400,0.000,0.7953,0.8316,TRACKING,L+C
1786451345.062,3.8,0.880,0.873,0.000,0.5948,0.0520,-3.22,0.33804,0.166,0.400,0.000,0.7945,0.8314,TRACKING,L+C
1786451345.279,3.8,0.889,0.870,0.000,0.5795,0.0390,-3.59,0.28830,0.171,0.400,0.000,0.6904,0.7210,TRACKING,L+C
1786451345.496,4.6,0.898,0.866,0.000,0.5683,0.0167,-4.34,0.23155,0.177,0.400,0.000,0.4361,0.4567,TRACKING,L+C
1786451345.765,4.6,0.905,0.868,0.952,0.5200,0.0061,-2.49,0.33082,0.167,0.400,0.000,0.2247,0.2385,TRACKING,L+C+R_fused
1786451346.041,4.6,0.912,0.870,0.951,0.5108,-0.0060,-2.32,0.39129,0.161,0.400,0.000,0.0597,0.0685,TRACKING,L+C+R_fused
1786451346.316,4.6,0.916,0.866,0.949,0.5202,-0.0179,-4.47,0.31789,0.168,0.400,0.000,-0.0467,-0.0405,TRACKING,L+C+R_fused
1786451346.534,3.9,0.907,0.860,0.000,0.5402,-0.0004,-3.73,0.33717,0.166,0.400,0.000,0.1795,0.1928,TRACKING,L+C
1786451346.758,3.9,0.899,0.857,0.000,0.5627,0.0128,-3.30,0.42912,0.157,0.400,0.000,0.3999,0.4202,TRACKING,L+C
1786451346.985,3.9,0.892,0.856,0.000,0.5757,0.0285,-4.45,0.35527,0.164,0.400,0.000,0.5934,0.6220,TRACKING,L+C
1786451347.212,3.9,0.883,0.857,0.000,0.5909,0.0448,-4.56,0.39683,0.160,0.400,0.000,0.8061,0.8433,TRACKING,L+C
1786451347.438,3.9,0.878,0.858,0.000,0.6036,0.0596,-1.73,0.58477,0.150,0.400,0.000,0.9794,1.0000,TRACKING,L+C
1786451347.664,4.4,0.876,0.852,0.000,0.6138,0.0507,-5.28,0.35116,0.165,0.400,0.000,0.8410,0.8816,TRACKING,L+C
1786451347.898,4.4,0.876,0.846,0.000,0.6042,0.0454,-2.29,0.55234,0.150,0.400,0.000,0.8504,0.8862,TRACKING,L+C
1786451348.129,4.4,0.879,0.844,0.000,0.5923,0.0259,-5.17,0.45292,0.155,0.400,0.000,0.6605,0.6911,TRACKING,L+C
1786451348.362,4.4,0.890,0.836,0.000,0.5719,0.0092,-5.00,0.49914,0.150,0.400,0.000,0.4588,0.4821,TRACKING,L+C
1786451348.595,4.4,0.889,0.834,0.000,0.5815,0.0024,-1.67,0.76555,0.150,0.400,0.000,0.2551,0.2733,TRACKING,L+C
1786451348.831,4.3,0.888,0.828,0.000,0.5676,-0.0034,-0.43,1.02856,0.150,0.400,0.000,0.1480,0.1659,TRACKING,L+C
1786451349.179,4.3,0.888,0.828,0.000,0.5676,-0.0027,-0.35,0.82285,0.150,0.400,0.000,0.1480,0.1659,TRACKING,prediction
1786451349.530,4.3,0.888,0.828,0.000,0.5676,-0.0022,-0.28,0.65828,0.150,0.400,0.000,0.1480,0.1659,TRACKING,prediction
1786451349.856,2.9,0.888,0.828,0.000,0.5676,-0.0017,-0.22,0.52662,0.150,0.400,0.000,0.1480,0.1659,TRACKING,prediction
1786451350.097,2.9,0.814,0.862,0.000,0.7465,0.1425,-14.52,-0.04757,0.195,0.400,0.000,1.0000,1.0000,TRACKING,L+C
1786451350.321,2.9,0.806,0.923,0.000,0.6918,0.1854,-11.01,-0.02504,0.197,0.400,0.000,1.0000,1.0000,TRACKING,L+C
1786451350.608,2.9,0.806,0.923,0.000,0.6918,0.1483,-8.81,-0.02003,0.197,0.400,0.000,1.0000,1.0000,TRACKING,prediction
1786451350.822,2.9,0.810,0.946,0.000,0.5526,0.1519,-23.02,-0.58813,0.150,0.400,0.000,1.0000,1.0000,TRACKING,L+C
1786451351.044,4.2,0.817,0.931,0.000,0.5746,0.2107,-7.63,-0.23033,0.177,0.400,0.000,1.0000,1.0000,TRACKING,L+C
1786451351.268,4.2,0.821,0.919,0.000,0.5554,0.2153,-4.79,-0.19751,0.180,0.400,0.000,1.0000,1.0000,TRACKING,L+C
1786451351.496,4.2,0.825,0.906,0.000,0.5567,0.2206,0.39,-0.01098,0.199,0.400,0.000,1.0000,1.0000,TRACKING,L+C
1786451351.731,4.2,0.831,0.890,0.000,0.5619,0.2167,3.10,0.06739,0.193,0.400,0.000,1.0000,1.0000,TRACKING,L+C
1786451351.995,4.2,0.829,0.872,0.000,0.5745,0.1987,4.51,0.09647,0.190,0.400,0.000,1.0000,1.0000,TRACKING,L+C
1786451352.255,4.1,0.836,0.862,0.000,0.5943,0.1843,8.92,0.37443,0.163,0.400,0.000,1.0000,1.0000,TRACKING,L+C
1786451352.517,4.1,0.851,0.849,0.000,0.5902,0.1601,12.48,0.64145,0.150,0.400,0.000,1.0000,1.0000,TRACKING,L+C
1786451352.759,4.1,0.865,0.841,0.000,0.5899,0.1038,8.79,0.55310,0.150,0.400,0.000,1.0000,1.0000,TRACKING,L+C
1786451352.994,4.1,0.875,0.841,0.000,0.5655,0.0675,8.86,0.71694,0.150,0.400,0.000,0.8050,0.8325,TRACKING,L+C
1786451353.284,3.9,0.882,0.838,0.950,0.5232,0.0224,5.53,0.60227,0.150,0.400,0.000,0.2593,0.2699,TRACKING,L+C+R_fused
1786451353.566,3.9,0.887,0.838,0.948,0.5069,-0.0304,2.03,0.59815,0.150,0.400,0.000,-0.4933,-0.5007,TRACKING,L+C+R_fused
1786451353.843,3.9,0.894,0.842,0.946,0.5126,-0.0597,-0.39,0.63162,0.150,0.400,0.000,-0.7978,-0.8136,TRACKING,L+C+R_fused
