timestamp,state,front_dist,closest_angle,closest_dist,current_offset_px,steering
1784172115.019554,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172115.0239284,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172115.0259347,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172115.0259347,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172115.0296988,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172115.032952,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172115.032952,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172115.032952,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172115.032952,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172115.0420165,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172115.0433,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172115.0470872,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172115.050401,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172115.0526977,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172115.0576067,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172115.0576067,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172115.0643787,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172115.0684044,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172115.0684044,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172115.0684044,NORMAL,1.5,0.0,1.5,0.0,0.0
