epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,76.4126,1.09486,2.34809,1.13133,1.20659,0,0.91346,0.60697,0.77832,0.5178,0.91346,0.60697,0.75239,0.3862,1.26873,2.49989,1.45947,1.18222,0,0.00104703,0.00104703,0.00104703
29,78.9463,1.04951,2.28872,1.15291,1.18008,0,0.69646,0.61891,0.69103,0.47346,0.69646,0.61891,0.64118,0.35426,1.21232,2.50676,1.60265,1.14245,0,0.00103288,0.00103288,0.00103288
30,81.3753,1.08222,2.21015,1.08251,1.17025,0,0.74365,0.77735,0.84566,0.55737,0.7543,0.76111,0.79685,0.47917,1.17598,2.10976,1.27119,1.11798,0,0.00101873,0.00101873,0.00101873
31,83.8852,1.06329,2.2652,1.10969,1.18671,0,0.82421,0.75611,0.85734,0.54082,0.80997,0.74381,0.83495,0.4819,1.27213,2.11806,1.23413,1.13245,0,0.00100459,0.00100459,0.00100459
32,86.4243,1.05721,2.29917,1.05981,1.17399,0,0.75308,0.89316,0.92997,0.61174,0.82331,0.725,0.88167,0.51018,1.23913,2.11618,1.14754,1.12791,0,0.00099044,0.00099044,0.00099044
33,89.0615,1.04025,2.35279,1.04837,1.18879,0,0.93892,0.71228,0.9151,0.61038,0.92329,0.68025,0.85928,0.51269,1.20829,2.17181,1.11099,1.1158,0,0.000976293,0.000976293,0.000976293
34,92.0499,1.0458,2.2404,1.0324,1.1845,0,0.87603,0.73311,0.90468,0.62883,0.87603,0.73311,0.87592,0.54395,1.11852,2.09755,1.10597,1.06097,0,0.000962146,0.000962146,0.000962146
35,94.9137,1.06591,2.25087,1.05875,1.18076,0,0.7992,0.90219,0.95658,0.62906,0.7668,0.85526,0.90028,0.53908,1.18351,2.25153,1.02228,1.083,0,0.000947999,0.000947999,0.000947999
36,97.366,1.02409,2.19643,1.00595,1.16976,0,0.86616,0.89885,0.93383,0.59987,0.8671,0.86297,0.91396,0.53857,1.24613,2.10725,1.0004,1.1676,0,0.000933851,0.000933851,0.000933851
37,100.049,0.98186,2.16483,0.9751,1.14831,0,0.84088,0.90853,0.93326,0.62738,0.87123,0.87451,0.90642,0.58528,1.20113,1.87136,0.96223,1.13761,0,0.000919704,0.000919704,0.000919704
