timestamp,fps,left_conf,center_conf,right_conf,lane_width_m,lateral_error_m,heading_error_deg,curvature,lookahead_m,target_speed,actual_speed,steer_raw,steer_filtered,tracking_state,reconstruction_method
1787297488.486,0.5,0.665,0.652,0.383,0.4208,-0.0007,5.33,0.27942,0.278,0.349,0.000,-0.0810,-0.0664,TRACKING,L+C+R_fused
1787297488.566,0.5,0.663,0.651,0.000,0.4208,-0.0004,5.55,0.29985,0.276,0.426,0.000,-0.0824,-0.0795,TRACKING,L+C
1787297488.694,0.5,0.663,0.652,0.278,0.4286,-0.0000,5.74,0.31454,0.275,0.486,0.000,-0.0826,-0.0820,TRACKING,L+C+R_fused
1787297488.785,0.5,0.652,0.652,0.000,0.4286,0.0000,4.87,0.24373,0.281,0.533,0.000,-0.0717,-0.0736,TRACKING,L+C
1787297488.870,0.5,0.647,0.656,0.646,0.4192,0.0001,3.45,0.12227,0.290,0.570,0.000,-0.0564,-0.0595,TRACKING,L+C+R_fused
1787297488.957,0.5,0.656,0.658,0.357,0.4184,0.0042,4.45,0.18929,0.285,0.599,0.000,-0.0496,-0.0514,TRACKING,L+C+R_fused
1787297489.050,0.5,0.666,0.652,0.541,0.4168,0.0041,3.02,0.07583,0.294,0.621,0.000,-0.0354,-0.0383,TRACKING,L+C+R_fused
1787297489.139,0.5,0.674,0.648,0.263,0.4328,0.0050,1.86,-0.02670,0.298,0.638,0.000,-0.0291,-0.0308,TRACKING,L+C+R_fused
1787297489.226,0.5,0.675,0.650,0.501,0.5373,0.0070,0.59,-0.12317,0.290,0.652,0.000,-0.0030,-0.0080,TRACKING,L+C+R_fused
1787297489.314,0.5,0.672,0.650,0.304,0.6184,0.0105,-0.83,-0.24647,0.280,0.662,0.000,0.0256,0.0195,TRACKING,L+C+R_fused
1787297489.399,0.5,0.660,0.651,0.291,0.3960,-0.0048,-7.53,-0.58797,0.253,0.671,0.000,0.0126,0.0138,TRACKING,L+C+R_fused
1787297489.486,0.5,0.654,0.649,0.264,0.4187,0.0015,-7.04,-0.61960,0.250,0.677,0.000,0.0324,0.0291,TRACKING,L+C+R_fused
1787297489.558,11.2,0.659,0.646,0.000,0.4187,0.0090,-5.69,-0.60070,0.252,0.682,0.000,0.0481,0.0447,TRACKING,L+C
1787297489.649,11.2,0.670,0.653,0.667,0.3703,0.0169,-3.07,-0.39473,0.268,0.686,0.000,0.0917,0.0833,TRACKING,L+C+R_fused
1787297489.736,11.2,0.679,0.653,0.675,0.4479,0.0226,-1.92,-0.30752,0.275,0.689,0.000,0.1056,0.1016,TRACKING,L+C+R_fused
1787297489.827,11.2,0.660,0.651,0.668,0.5990,0.0077,-9.15,-0.71450,0.243,0.525,0.000,0.1112,0.1095,TRACKING,L+C+R_fused
1787297489.925,11.2,0.667,0.646,0.677,0.5825,0.0173,-6.57,-0.61338,0.251,0.442,0.000,0.1208,0.1187,TRACKING,L+C+R_fused
1787297490.020,11.2,0.667,0.649,0.679,0.5529,0.0253,-4.43,-0.51451,0.259,0.401,0.000,0.1300,0.1279,TRACKING,L+C+R_fused
1787297490.131,11.2,0.666,0.652,0.676,0.5479,0.0292,-3.15,-0.44496,0.264,0.381,0.000,0.1550,0.1502,TRACKING,L+C+R_fused
1787297490.219,11.2,0.667,0.655,0.665,0.6039,0.0316,-1.65,-0.35712,0.271,0.370,0.000,0.1399,0.1417,TRACKING,L+C+R_fused
1787297490.307,11.2,0.667,0.654,0.671,0.5855,0.0311,-0.87,-0.28253,0.277,0.365,0.000,0.1267,0.1294,TRACKING,L+C+R_fused
1787297490.403,11.2,0.669,0.652,0.663,0.5695,0.0316,-0.02,-0.21603,0.283,0.363,0.000,0.1166,0.1189,TRACKING,L+C+R_fused
1787297490.499,11.2,0.671,0.651,0.680,0.5932,0.0308,-0.32,-0.26251,0.279,0.361,0.000,0.1140,0.1149,TRACKING,L+C+R_fused
1787297490.595,10.6,0.674,0.651,0.673,0.5494,0.0318,1.06,-0.13984,0.289,0.361,0.000,0.1015,0.1039,TRACKING,L+C+R_fused
1787297490.683,10.6,0.678,0.652,0.672,0.5558,0.0316,1.35,-0.12919,0.290,0.360,0.000,0.0955,0.0970,TRACKING,L+C+R_fused
1787297490.775,10.6,0.679,0.651,0.672,0.5473,0.0316,2.08,-0.06505,0.295,0.435,0.000,0.0873,0.0890,TRACKING,L+C+R_fused
1787297490.869,10.6,0.682,0.650,0.672,0.5466,0.0312,2.76,-0.00855,0.299,0.493,0.000,0.0700,0.0734,TRACKING,L+C+R_fused
1787297490.956,10.6,0.680,0.653,0.678,0.5265,0.0303,3.75,0.07748,0.294,0.539,0.000,0.0701,0.0707,TRACKING,L+C+R_fused
1787297491.046,10.6,0.684,0.652,0.672,0.5470,0.0343,5.92,0.20002,0.284,0.574,0.000,0.0663,0.0671,TRACKING,L+C+R_fused
1787297491.134,10.6,0.684,0.650,0.000,0.5470,0.0328,5.98,0.21371,0.283,0.602,0.000,0.0605,0.0617,TRACKING,L+C
1787297491.222,10.6,0.685,0.646,0.000,0.5470,0.0304,6.34,0.29839,0.276,0.624,0.000,0.0595,0.0599,TRACKING,L+C
1787297491.310,10.6,0.687,0.648,0.000,0.5470,0.0265,5.04,0.18688,0.285,0.640,0.000,0.0459,0.0484,TRACKING,L+C
1787297491.400,10.6,0.687,0.649,0.650,0.3997,0.0233,4.57,0.14424,0.288,0.653,0.000,0.0322,0.0351,TRACKING,L+C+R_fused
