timestamp,fps,left_conf,center_conf,right_conf,lane_width_m,lateral_error_m,heading_error_deg,curvature,lookahead_m,target_speed,actual_speed,steer_raw,steer_filtered,tracking_state,reconstruction_method
1786358974.095,0.5,0.000,0.825,0.000,0.6000,-0.0160,6.87,0.04453,0.196,0.500,0.000,-0.6888,-0.6888,TRACKING,C_only
1786358974.252,0.5,0.000,0.825,0.000,0.6000,-0.0174,5.89,0.00447,0.199,0.500,0.000,-0.6568,-0.6568,TRACKING,C_only
1786358974.405,0.5,0.000,0.824,0.000,0.6000,-0.0182,4.90,-0.03771,0.193,0.500,0.000,-0.6680,-0.6680,TRACKING,C_only
1786358974.550,0.5,0.000,0.829,0.000,0.6000,-0.0167,5.01,-0.04193,0.193,0.500,0.000,-0.6440,-0.6440,TRACKING,C_only
1786358974.703,0.5,0.000,0.827,0.000,0.6000,-0.0166,4.22,-0.07508,0.189,0.500,0.000,-0.6347,-0.6347,TRACKING,C_only
1786358974.862,0.5,0.000,0.826,0.000,0.6000,-0.0135,4.66,-0.05595,0.193,0.500,0.000,-0.5696,-0.5696,TRACKING,C_only
1786358975.012,0.5,0.000,0.827,0.000,0.6000,-0.0129,3.56,-0.09608,0.187,0.500,0.000,-0.5401,-0.5401,TRACKING,C_only
1786358975.166,6.5,0.000,0.824,0.000,0.6000,-0.0100,2.73,-0.14160,0.181,0.500,0.000,-0.4800,-0.4800,TRACKING,C_only
1786358975.320,6.5,0.000,0.822,0.000,0.6000,-0.0048,3.94,-0.08891,0.191,0.500,0.000,-0.3813,-0.3813,TRACKING,C_only
1786358975.481,6.5,0.000,0.819,0.000,0.6000,-0.0006,2.99,-0.13442,0.184,0.500,0.000,-0.2833,-0.2833,TRACKING,C_only
1786358975.643,6.5,0.000,0.819,0.000,0.6000,0.0052,3.08,-0.14874,0.183,0.500,0.000,-0.1770,-0.1770,TRACKING,C_only
1786358975.790,6.5,0.000,0.819,0.000,0.6000,0.0088,3.54,-0.13153,0.186,0.500,0.000,-0.1163,-0.1163,TRACKING,C_only
1786358975.952,6.5,0.000,0.817,0.000,0.6000,0.0112,3.94,-0.12671,0.187,0.500,0.000,-0.0907,-0.0907,TRACKING,C_only
1786358976.109,6.5,0.000,0.818,0.000,0.6000,0.0115,5.05,-0.07416,0.195,0.500,0.000,-0.1195,-0.1195,TRACKING,C_only
