timestamp,fps,left_conf,center_conf,right_conf,lane_width_m,lateral_error_m,heading_error_deg,curvature,lookahead_m,target_speed,actual_speed,steer_raw,steer_filtered,tracking_state,reconstruction_method
1787290750.431,0.5,0.665,0.656,0.000,0.6000,0.0085,1.12,-0.07456,0.234,0.427,0.000,0.0151,0.0154,TRACKING,L+C
1787290750.530,0.5,0.666,0.656,0.000,0.6000,0.0085,1.13,-0.07273,0.234,0.542,0.000,0.0149,0.0153,TRACKING,L+C
1787290750.626,0.5,0.665,0.657,0.000,0.6000,0.0084,1.22,-0.06558,0.236,0.632,0.000,0.0124,0.0127,TRACKING,L+C
1787290750.726,0.5,0.660,0.656,0.000,0.6000,0.0000,-2.29,-0.27338,0.190,0.702,0.000,0.0358,0.0354,TRACKING,L+C
1787290750.798,0.5,0.659,0.651,0.000,0.6000,0.0017,-2.58,-0.33867,0.175,0.757,0.000,0.0649,0.0647,TRACKING,L+C
1787290750.887,0.5,0.661,0.650,0.348,0.4841,0.0046,-1.58,-0.27394,0.190,0.799,0.000,0.0670,0.0672,TRACKING,L+C+R_fused
1787290750.976,0.5,0.689,0.654,0.674,0.5949,0.0076,-0.40,-0.17435,0.212,0.832,0.000,0.0626,0.0635,TRACKING,L+C+R_fused
1787290751.067,0.5,0.662,0.656,0.662,0.5983,0.0093,-0.53,-0.18297,0.210,0.858,0.000,0.0857,0.0874,TRACKING,L+C+R_fused
1787290751.154,0.5,0.677,0.651,0.659,0.5749,0.0078,-2.16,-0.30008,0.184,0.878,0.000,0.1379,0.1399,TRACKING,L+C+R_fused
1787290751.248,0.5,0.677,0.651,0.678,0.6369,0.0113,-1.25,-0.25035,0.195,0.894,0.000,0.1401,0.1427,TRACKING,L+C+R_fused
1787290751.336,0.5,0.677,0.656,0.678,0.5948,0.0134,-0.92,-0.24170,0.197,0.906,0.000,0.1525,0.1555,TRACKING,L+C+R_fused
1787290751.422,0.5,0.679,0.657,0.669,0.5803,0.0127,-1.06,-0.23605,0.198,0.916,0.000,0.1489,0.1519,TRACKING,L+C+R_fused
1787290751.514,11.1,0.681,0.654,0.675,0.5759,0.0135,-0.00,-0.16320,0.214,0.923,0.000,0.1128,0.1155,TRACKING,L+C+R_fused
1787290751.604,11.1,0.678,0.652,0.677,0.5935,0.0129,0.74,-0.10961,0.226,0.929,0.000,0.0643,0.0664,TRACKING,L+C+R_fused
1787290751.695,11.1,0.655,0.656,0.676,0.2891,0.0114,1.25,-0.07067,0.234,0.934,0.000,0.0369,0.0382,TRACKING,L+C+R_fused
1787290751.786,11.1,0.685,0.651,0.677,0.6191,0.0094,2.37,0.03698,0.242,0.937,0.000,0.0042,0.0045,TRACKING,L+C+R_fused
1787290751.876,11.1,0.685,0.650,0.677,0.5670,0.0055,2.73,0.06532,0.236,0.940,0.000,-0.0360,-0.0373,TRACKING,L+C+R_fused
1787290751.962,11.1,0.688,0.658,0.679,0.5265,0.0014,2.66,0.05004,0.239,0.942,0.000,-0.0714,-0.0744,TRACKING,L+C+R_fused
1787290752.057,11.1,0.681,0.653,0.680,0.5974,0.0004,4.04,0.15191,0.217,0.944,0.000,-0.1273,-0.1314,TRACKING,L+C+R_fused
1787290752.152,11.1,0.682,0.652,0.671,0.6463,-0.0028,3.67,0.13709,0.220,0.945,0.000,-0.1447,-0.1496,TRACKING,L+C+R_fused
1787290752.243,11.1,0.683,0.654,0.679,0.6180,-0.0045,2.79,0.06917,0.235,0.946,0.000,-0.1265,-0.1316,TRACKING,L+C+R_fused
1787290752.340,11.1,0.684,0.654,0.680,0.5864,-0.0060,1.60,-0.00562,0.249,0.947,0.000,-0.1022,-0.1070,TRACKING,L+C+R_fused
1787290752.434,11.1,0.678,0.649,0.679,0.6184,-0.0011,0.79,-0.08124,0.232,0.948,0.000,-0.0620,-0.0648,TRACKING,L+C+R_fused
1787290752.522,10.9,0.682,0.654,0.683,0.6240,0.0048,0.73,-0.07551,0.233,0.948,0.000,-0.0036,-0.0040,TRACKING,L+C+R_fused
1787290752.608,10.9,0.670,0.652,0.664,0.5778,0.0020,-4.90,-0.44891,0.160,0.868,0.000,0.1849,0.1869,TRACKING,L+C+R_fused
1787290752.702,10.9,0.676,0.651,0.680,0.6519,0.0113,-5.44,-0.53432,0.160,0.811,0.000,0.3660,0.3710,TRACKING,L+C+R_fused
1787290752.798,10.9,0.676,0.656,0.680,0.5505,0.0198,-7.11,-0.67590,0.160,0.631,0.000,0.5615,0.5702,TRACKING,L+C+R_fused
1787290752.884,10.9,0.676,0.652,0.297,0.5816,0.0059,-15.94,-1.09518,0.160,0.540,0.000,0.6223,0.6324,TRACKING,L+C+R_fused
1787290752.974,10.9,0.680,0.658,0.682,0.5971,0.0209,-11.35,-0.85682,0.160,0.495,0.000,0.7193,0.7321,TRACKING,L+C+R_fused
1787290753.064,10.9,0.674,0.650,0.676,0.5791,0.0302,-7.24,-0.65935,0.160,0.473,0.000,0.7355,0.7486,TRACKING,L+C+R_fused
1787290753.156,10.9,0.671,0.650,0.673,0.6901,0.0315,-3.10,-0.39928,0.162,0.461,0.000,0.6225,0.6335,TRACKING,L+C+R_fused
