timestamp,fps,left_conf,center_conf,right_conf,lane_width_m,lateral_error_m,heading_error_deg,curvature,lookahead_m,target_speed,actual_speed,steer_raw,steer_filtered,tracking_state,reconstruction_method
1787121569.963,0.5,0.702,0.670,0.637,0.4519,0.0220,0.29,0.01968,0.278,0.207,0.000,0.1309,0.1113,TRACKING,L+C+R_fused
1787121570.122,0.5,0.689,0.669,0.637,0.4509,0.0220,0.32,0.02183,0.278,0.231,0.000,0.1303,0.1274,TRACKING,L+C+R_fused
1787121570.277,0.5,0.698,0.670,0.635,0.4510,0.0217,0.40,0.02626,0.277,0.253,0.000,0.1270,0.1271,TRACKING,L+C+R_fused
1787121570.434,0.5,0.698,0.670,0.637,0.4513,0.0198,0.27,0.01965,0.278,0.273,0.000,0.1183,0.1196,TRACKING,L+C+R_fused
1787121570.596,0.5,0.690,0.670,0.636,0.4517,0.0168,0.26,0.02342,0.278,0.291,0.000,0.0999,0.1029,TRACKING,L+C+R_fused
1787121570.755,0.5,0.723,0.671,0.636,0.4548,0.0135,0.19,0.02288,0.278,0.307,0.000,0.0811,0.0844,TRACKING,L+C+R_fused
1787121570.905,0.5,0.692,0.673,0.636,0.4558,0.0104,0.26,0.03289,0.277,0.321,0.000,0.0604,0.0640,TRACKING,L+C+R_fused
1787121571.056,6.4,0.696,0.684,0.636,0.4566,0.0064,0.07,0.02852,0.277,0.334,0.000,0.0406,0.0441,TRACKING,L+C+R_fused
1787121571.209,6.4,0.713,0.675,0.636,0.4571,0.0017,-0.60,-0.00315,0.279,0.345,0.000,0.0306,0.0326,TRACKING,L+C+R_fused
1787121571.367,6.4,0.732,0.668,0.636,0.4594,-0.0026,-0.59,0.00150,0.280,0.356,0.000,0.0025,0.0070,TRACKING,L+C+R_fused
1787121571.533,6.4,0.728,0.664,0.635,0.4602,-0.0073,-0.78,-0.00119,0.280,0.365,0.000,-0.0215,-0.0172,TRACKING,L+C+R_fused
1787121571.694,6.4,0.722,0.665,0.636,0.4606,-0.0126,-1.39,-0.03403,0.276,0.374,0.000,-0.0387,-0.0355,TRACKING,L+C+R_fused
1787121571.859,6.4,0.740,0.667,0.636,0.4627,-0.0164,-1.73,-0.05085,0.275,0.381,0.000,-0.0546,-0.0517,TRACKING,L+C+R_fused
1787121572.003,6.4,0.736,0.674,0.636,0.4664,-0.0180,-1.24,-0.01530,0.279,0.388,0.000,-0.0767,-0.0730,TRACKING,L+C+R_fused
1787121572.158,6.4,0.709,0.674,0.639,0.4676,-0.0200,-0.72,0.03214,0.276,0.394,0.000,-0.1059,-0.1010,TRACKING,L+C+R_fused
1787121572.300,6.4,0.711,0.670,0.640,0.4726,-0.0230,-0.89,0.04242,0.275,0.400,0.000,-0.1188,-0.1161,TRACKING,L+C+R_fused
1787121572.462,6.4,0.679,0.667,0.629,0.4741,-0.0271,-1.53,0.02465,0.278,0.405,0.000,-0.1221,-0.1212,TRACKING,L+C+R_fused
1787121572.632,6.4,0.634,0.670,0.633,0.4616,-0.0295,-1.94,0.01765,0.278,0.409,0.000,-0.1244,-0.1240,TRACKING,L+C+R_fused
1787121572.800,6.4,0.628,0.676,0.631,0.4507,-0.0296,-1.98,0.03150,0.277,0.414,0.000,-0.1262,-0.1259,TRACKING,L+C+R_fused
1787121572.964,6.4,0.646,0.681,0.629,0.4625,-0.0307,-2.24,0.03455,0.276,0.417,0.000,-0.1256,-0.1257,TRACKING,L+C+R_fused
1787121573.130,6.4,0.654,0.675,0.630,0.4679,-0.0319,-2.77,0.01681,0.279,0.420,0.000,-0.1145,-0.1162,TRACKING,L+C+R_fused
1787121573.294,6.2,0.645,0.670,0.631,0.4684,-0.0326,-3.13,0.00600,0.280,0.423,0.000,-0.1074,-0.1087,TRACKING,L+C+R_fused
1787121573.463,6.2,0.641,0.672,0.630,0.4661,-0.0336,-3.77,-0.02689,0.277,0.426,0.000,-0.0986,-0.1001,TRACKING,L+C+R_fused
1787121573.621,6.2,0.645,0.677,0.629,0.4633,-0.0319,-3.57,-0.01108,0.279,0.428,0.000,-0.0922,-0.0934,TRACKING,L+C+R_fused
1787121573.772,6.2,0.639,0.694,0.631,0.4652,-0.0321,-3.81,-0.01903,0.278,0.431,0.000,-0.0870,-0.0880,TRACKING,L+C+R_fused
1787121573.930,6.2,0.639,0.676,0.629,0.4656,-0.0308,-3.50,0.00225,0.279,0.433,0.000,-0.0867,-0.0869,TRACKING,L+C+R_fused
1787121574.099,6.2,0.636,0.672,0.631,0.4690,-0.0303,-3.42,0.01518,0.278,0.434,0.000,-0.0868,-0.0868,TRACKING,L+C+R_fused
1787121574.267,6.2,0.643,0.669,0.630,0.4674,-0.0297,-3.57,0.01588,0.278,0.436,0.000,-0.0775,-0.0789,TRACKING,L+C+R_fused
1787121574.434,6.1,0.647,0.669,0.633,0.4707,-0.0282,-3.68,0.01425,0.279,0.437,0.000,-0.0651,-0.0671,TRACKING,L+C+R_fused
1787121574.592,6.1,0.629,0.673,0.637,0.4700,-0.0271,-3.99,-0.00332,0.279,0.439,0.000,-0.0477,-0.0506,TRACKING,L+C+R_fused
1787121574.740,6.1,0.651,0.675,0.640,0.4715,-0.0234,-3.47,0.02390,0.277,0.440,0.000,-0.0421,-0.0434,TRACKING,L+C+R_fused
1787121574.893,6.1,0.639,0.669,0.632,0.4660,-0.0209,-3.60,0.02010,0.278,0.441,0.000,-0.0212,-0.0245,TRACKING,L+C+R_fused
1787121575.057,6.1,0.641,0.666,0.633,0.4593,-0.0185,-3.81,0.01125,0.279,0.442,0.000,0.0013,-0.0025,TRACKING,L+C+R_fused
1787121575.210,6.1,0.638,0.668,0.633,0.4651,-0.0156,-3.72,0.02200,0.278,0.442,0.000,0.0166,0.0137,TRACKING,L+C+R_fused
1787121575.359,6.1,0.678,0.672,0.635,0.4639,-0.0134,-3.60,0.03338,0.276,0.443,0.000,0.0269,0.0250,TRACKING,L+C+R_fused
