timestamp,e_lat_px,e_psi_deg,kappa,steer,throttle
1786089406.0284681,44.6171091163,-5.14737618018087,-0.000343191820776,0.29691944943662246,0.25
1786089406.1127093,31.9577904725,-15.637418269767439,-0.00111751266001,-0.2851436557289439,0.25
1786089406.1909842,46.1697560206,-4.632804122136882,-0.000409765644272,-0.15565094117646888,0.25
1786089406.268064,42.6220653401,-3.4772305601096427,-0.000236993415803,-0.08671102550379334,0.25
1786089406.3566163,49.8385589019,-0.3291485015597421,-6.09790271304e-05,0.02362398232454151,0.25
1786089406.4345098,52.4284983627,-7.839886658864485,-0.000800989566887,-0.14706719586285386,0.25
1786089406.5202994,41.08601511,-11.558288518853178,-0.000975222535574,-0.30610822181818426,0.25
1786089406.610487,51.6261426573,-5.110270021905501,-0.0007357635952,-0.18047035822801002,0.25
1786089406.707229,41.3494391239,-15.351551834257336,-0.00163852582367,-0.4326482105012077,0.25
1786089406.7949932,15.586128706,-22.653779943344617,-0.00228980013567,-0.7374153245212429,0.25
1786089406.874925,12.4790569169,-25.927214086883364,-0.00271118674248,-0.9212245973563729,0.25
1786089406.9535704,28.8240980152,-15.991191676720586,-0.00208479252226,-0.7038787076775511,0.25
1786089407.0251217,34.1391069338,-5.37351281308742,-0.00137601213898,-0.3543109015132637,0.25
1786089407.1047025,25.9243554762,-12.23653344130167,-0.00190114926525,-0.4418582238472496,0.25
1786089407.1818073,20.0300593226,-8.713208960889993,-0.00171746564415,-0.3851686867005405,0.25
1786089407.2674232,29.1212781413,1.7488540701911044,-0.00110086771994,-0.08678956563910531,0.25
1786089407.3401415,15.1388459928,-7.022809597577248,-0.00156525462871,-0.23859532860936,0.25
1786089407.4187346,22.1208164021,8.986880663473798,-0.000354951732158,0.14954330235005703,0.25
1786089407.4930258,28.5920603823,20.852420462730315,0.000762506549547,0.5984283756701773,0.25
1786089407.5694726,16.5975452167,13.721582726913494,0.00050994038861,0.5414813928249674,0.25
1786089407.6453354,22.644359085,20.90758585481848,0.00121963718019,0.7296809124625534,0.25
1786089407.7205486,21.6846175688,12.556382153022904,0.000505545222425,0.5596001578481705,0.25
1786089407.7955718,34.4576253003,16.760054323570674,0.00069021363474,0.6299176296136482,0.25
1786089407.8761966,51.0731953924,27.80133508243584,0.0015375941921,0.8889752888840944,0.25
1786089407.951029,51.3699411417,33.162936162254866,0.00243099203092,0.9666925866652283,0.25
1786089408.0219731,41.0461453984,30.50224667760608,0.0022417388723,0.9900077759995685,0.25
1786089408.0945966,35.2161414943,21.56870264688657,0.00125973568338,0.8964937412329881,0.25
1786089408.1726122,35.3735467138,23.58512330105892,0.00149782781543,0.9258444919105472,0.25
1786089408.250692,33.4541990625,22.72491200467108,0.00142860023384,0.9093158183860042,0.25
1786089408.3273702,31.8660713014,31.020945659939372,0.00271148008785,0.9727947455158013,0.25
1786089408.4065945,29.0135287658,28.557566239453493,0.00247198010642,0.9918384236547404,0.25
1786089408.4893565,29.2030732459,24.050536757990937,0.00194823747406,0.9770996215704413,0.25
1786089408.564817,25.1602380228,23.70028116599143,0.00197096612164,0.9606124222054558,0.25
1786089408.6527195,14.4090967851,10.799443990617588,0.000903071426288,0.5961303832382183,0.25
1786089408.7290933,7.64971258501,9.395193095972491,0.000411873642889,0.42488364677295837,0.25
1786089408.8077855,3.3148435723,3.508257738995746,7.01063345499e-05,0.21631209037739807,0.25
1786089408.8880787,1.13153732465,2.7252940017206435,6.50263120537e-05,0.13262717539298838,0.25
1786089408.971935,-4.79359388736,-3.406297982152667,-0.00040801194253,-0.0629139099482561,0.25
1786089409.055918,-9.47110198362,-3.1971964069492276,-0.000293804561513,-0.11743972225555198,0.25
1786089409.1445224,-11.2690688966,1.7704909888141978,0.000279005679427,0.004456715410340983,0.25
1786089409.224139,1.88489237191,7.807125249055155,0.000665111187807,0.21422091799439255,0.25
1786089409.3034081,6.14925395084,7.453128425071043,0.000671260043717,0.2742840409147313,0.25
1786089409.3807259,30.4963166602,23.76805724342209,0.00187198162663,0.7535468954015035,0.25
1786089409.4618044,38.3786339185,28.34405603373763,0.00245221674706,0.926064068620451,0.25
1786089409.5452626,52.9234617987,37.37690553261267,0.00334173848863,0.9778192205861352,0.25
