timestamp,state,front_dist,closest_angle,closest_dist,current_offset_px,steering
1784172344.91683,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172344.9244695,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172344.9295473,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172344.9323983,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172344.9348886,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172344.9426134,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172344.9438078,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172344.949847,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172344.956781,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172344.9598465,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172344.9618626,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172344.9653401,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172344.970376,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172344.974755,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172344.974755,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172344.9816082,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172344.9845002,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172344.984986,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172344.9899552,NORMAL,1.5,0.0,1.5,0.0,0.0
1784172344.9899552,NORMAL,1.5,0.0,1.5,0.0,0.0
