epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,80.9291,0.64964,0.70319,0.89286,1.07834,0,0.61389,1,0.995,0.44511,0.61389,1,0.995,0.66188,1.62765,1.08398,2.04344,1.31257,0,0.0008516,0.0008516,0.0008516
31,83.3223,0.633,0.47369,0.91978,1.06199,0,0.61389,1,0.995,0.44511,0.61389,1,0.995,0.66188,1.62765,1.08398,2.04344,1.31257,0,0.000812,0.000812,0.000812
32,85.9191,0.51942,0.43887,0.79713,1.03199,0,0.39661,1,0.66167,0.25846,0.84523,0.6,0.76167,0.55315,2.38457,0.82266,2.04323,2.40308,0,0.0007724,0.0007724,0.0007724
33,88.1996,0.64949,0.62307,0.92562,1.09654,0,0.39661,1,0.66167,0.25846,0.84523,0.6,0.76167,0.55315,2.38457,0.82266,2.04323,2.40308,0,0.0007328,0.0007328,0.0007328
34,90.8214,0.61038,1.09878,0.7927,0.95214,0,0.58375,1,0.78667,0.26659,0.66214,0.8,0.84,0.6625,2.49051,0.66399,2.11135,2.51958,0,0.0006932,0.0006932,0.0006932
35,93.3696,0.68261,1.08371,0.83696,1.12202,0,0.58375,1,0.78667,0.26659,0.66214,0.8,0.84,0.6625,2.49051,0.66399,2.11135,2.51958,0,0.0006536,0.0006536,0.0006536
36,96.203,0.65652,0.73635,0.82976,1.07416,0,0.73615,0.8,0.895,0.30553,0.70482,0.8,0.93786,0.58984,2.25495,0.73964,1.86912,2.07383,0,0.000614,0.000614,0.000614
37,99.1507,0.68676,0.84599,1.08662,1.0365,0,0.73615,0.8,0.895,0.30553,0.70482,0.8,0.93786,0.58984,2.25495,0.73964,1.86912,2.07383,0,0.0005744,0.0005744,0.0005744
38,102.45,0.58189,0.65871,0.96829,1.02972,0,1,0.93306,0.995,0.50368,1,0.93306,0.995,0.7075,1.29119,0.65637,1.33939,1.12778,0,0.0005348,0.0005348,0.0005348
39,104.911,0.52029,0.48075,0.69385,0.99063,0,1,0.93306,0.995,0.50368,1,0.93306,0.995,0.7075,1.29119,0.65637,1.33939,1.12778,0,0.0004952,0.0004952,0.0004952
40,107.384,0.65964,0.75954,0.8621,1.06331,0,1,0.95182,0.995,0.70439,1,0.95182,0.995,0.878,0.73464,0.55832,1.21481,0.75072,0,0.0004556,0.0004556,0.0004556
41,109.814,0.53244,0.6607,1.24287,0.99166,0,1,0.95182,0.995,0.70439,1,0.95182,0.995,0.878,0.73464,0.55832,1.21481,0.75072,0,0.000416,0.000416,0.000416
42,112.313,0.4784,0.47555,1.08874,1.04332,0,1,0.96466,0.995,0.88525,1,0.96466,0.995,0.935,0.51557,0.41556,1.08191,0.63055,0,0.0003764,0.0003764,0.0003764
43,114.652,0.53613,1.04397,1.24722,1.02539,0,1,0.96466,0.995,0.88525,1,0.96466,0.995,0.935,0.51557,0.41556,1.08191,0.63055,0,0.0003368,0.0003368,0.0003368
44,117.147,0.40704,0.33122,1.00194,0.95974,0,1,0.96172,0.995,0.88167,1,0.96172,0.995,0.967,0.43904,0.34495,1.0023,0.58551,0,0.0002972,0.0002972,0.0002972
45,119.566,0.62325,0.38697,1.11439,1.00722,0,1,0.96172,0.995,0.88167,1,0.96172,0.995,0.967,0.43904,0.34495,1.0023,0.58551,0,0.0002576,0.0002576,0.0002576
46,122.129,0.59585,0.41244,1.04328,0.97261,0,0.98879,1,0.995,0.935,0.98879,1,0.995,0.995,0.4215,0.31311,0.93741,0.57057,0,0.000218,0.000218,0.000218
47,124.548,0.42442,0.28854,0.89497,0.97658,0,0.98879,1,0.995,0.935,0.98879,1,0.995,0.995,0.4215,0.31311,0.93741,0.57057,0,0.0001784,0.0001784,0.0001784
48,127.605,0.47854,0.43297,0.83025,0.99361,0,0.9897,1,0.995,0.91833,0.9897,1,0.995,0.995,0.39397,0.29259,0.97809,0.5496,0,0.0001388,0.0001388,0.0001388
49,130.331,0.68021,0.37058,0.91208,1.32444,0,0.9897,1,0.995,0.91833,0.9897,1,0.995,0.995,0.39397,0.29259,0.97809,0.5496,0,9.92e-05,9.92e-05,9.92e-05
50,132.991,0.49144,0.39969,0.85035,1.0384,0,0.98977,1,0.995,0.915,0.98977,1,0.995,0.995,0.38976,0.28024,1.00813,0.54875,0,5.96e-05,5.96e-05,5.96e-05
