timestamp,state,front_dist,closest_angle,closest_dist,clear_counter,dodge_direction,current_offset_px,steering
1784002179.2831776,1,0.8379999995231628,,inf,0,1.0,0.0,0.728
1784002179.3266308,1,0.8399999737739563,,inf,0,1.0,0.0,0.728
1784002179.3760881,1,0.8399999737739563,,inf,0,1.0,0.0,0.728
1784002179.427569,1,0.8399999737739563,,inf,0,1.0,0.0,0.728
1784002179.4765413,1,0.8379999995231628,,inf,0,1.0,0.0,0.714
1784002179.5289922,1,0.8379999995231628,,inf,0,1.0,0.0,0.707
1784002179.5786743,1,0.8159999847412109,,inf,0,1.0,0.0,0.686
1784002179.6272893,1,0.8159999847412109,,inf,0,1.0,0.0,0.672
1784002179.6776996,1,0.8159999847412109,,inf,0,1.0,0.0,0.651
1784002179.7266207,1,0.7940000295639038,9.488194805166643,0.7940000295639038,0,1.0,0.0,0.623
1784002179.7764046,1,0.7940000295639038,9.488194805166643,0.7940000295639038,0,1.0,0.0,0.42
1784002179.828208,1,0.7940000295639038,9.488194805166643,0.7940000295639038,0,1.0,0.0,0.42
1784002179.8757658,1,0.7720000147819519,12.484022390118298,0.7720000147819519,0,1.0,0.0,0.42
1784002179.9251966,1,0.7720000147819519,12.484022390118298,0.7720000147819519,0,1.0,0.0,0.42
1784002179.9751258,1,0.75,12.484022390118298,0.75,0,1.0,0.0,0.42
1784002180.025326,1,0.75,12.484022390118298,0.75,0,1.0,0.0,0.42
1784002180.0777717,1,0.75,12.484022390118298,0.75,0,1.0,0.0,0.483
1784002180.1279883,1,0.734000027179718,12.484022390118298,0.734000027179718,0,1.0,0.0,0.47600000000000003
1784002180.181915,1,0.734000027179718,12.484022390118298,0.734000027179718,0,1.0,0.0,0.441
1784002180.2302024,1,0.7839999794960022,11.485413195134413,0.7839999794960022,0,1.0,0.0,0.399
1784002180.278376,1,0.7839999794960022,11.485413195134413,0.7839999794960022,0,1.0,0.0,0.364
1784002180.3265836,1,0.7839999794960022,11.485413195134413,0.7839999794960022,0,1.0,0.0,0.336
1784002180.3760464,1,0.7620000243186951,11.984717792626356,0.7620000243186951,0,1.0,0.0,0.301
1784002180.4298086,1,0.7620000243186951,11.984717792626356,0.7620000243186951,0,1.0,0.0,0.28
1784002180.47729,1,3.2320001125335693,,inf,0,1.0,0.0,0.259
1784002180.5270803,1,3.2320001125335693,,inf,0,1.0,0.0,0.23800000000000002
1784002180.5771594,1,3.2320001125335693,,inf,0,1.0,0.0,0.224
1784002180.626632,1,3.252000093460083,,inf,0,1.0,0.0,0.21
1784002180.6767526,1,3.252000093460083,,inf,0,1.0,0.0,0.196
1784002180.7263286,1,3.24399995803833,,inf,0,1.0,0.0,0.378
1784002180.7760031,1,3.24399995803833,,inf,0,1.0,0.0,0.378
1784002180.825331,1,3.24399995803833,,inf,0,1.0,0.0,0.378
1784002180.8755462,1,3.2119998931884766,,inf,0,1.0,0.0,0.378
1784002180.925243,1,3.2119998931884766,,inf,0,1.0,0.0,0.378
1784002180.9749615,1,3.2039999961853027,,inf,0,1.0,0.0,0.378
1784002181.0269103,1,3.2039999961853027,,inf,0,1.0,0.0,0.035
1784002181.076835,1,3.2039999961853027,,inf,0,1.0,0.0,0.098
1784002181.1263793,1,3.191999912261963,,inf,0,1.0,0.0,0.077
1784002181.1756744,1,3.191999912261963,,inf,0,1.0,0.0,0.063
1784002181.226477,1,3.1679999828338623,,inf,0,1.0,0.0,0.049
1784002181.2757797,1,3.1679999828338623,,inf,0,1.0,0.0,0.035
1784002181.3269455,1,3.1679999828338623,,inf,0,1.0,0.0,0.021
1784002181.3764408,1,3.1519999504089355,,inf,0,1.0,0.0,0.014
1784002181.428064,1,3.1519999504089355,,inf,0,1.0,0.0,0.0
1784002181.476238,1,3.128000020980835,,inf,0,1.0,0.0,-0.014
1784002181.5259707,1,3.128000020980835,,inf,0,1.0,0.0,-0.021
1784002181.5766706,1,3.128000020980835,,inf,0,1.0,0.0,-0.028
1784002181.6275876,1,3.111999988555908,,inf,0,1.0,0.0,-0.021
1784002181.6779504,1,3.111999988555908,,inf,0,1.0,0.0,-0.021
1784002181.7317545,1,3.0840001106262207,,inf,0,1.0,0.0,-0.385
1784002181.774394,1,3.0840001106262207,,inf,0,1.0,0.0,-0.385
1784002181.8250408,1,3.0840001106262207,,inf,0,1.0,0.0,-0.385
1784002181.8778205,1,3.055999994277954,,inf,0,1.0,0.0,-0.385
1784002181.9256196,1,3.055999994277954,,inf,0,1.0,0.0,-0.385
1784002181.9748967,1,3.0480000972747803,,inf,0,1.0,0.0,-0.385
1784002182.0242953,1,3.0480000972747803,,inf,0,1.0,0.0,-0.385
1784002182.075799,1,3.0480000972747803,,inf,0,1.0,0.0,-0.105
1784002182.1254225,1,3.0439999103546143,,inf,0,1.0,0.0,-0.105
1784002182.1769016,1,3.0439999103546143,,inf,0,1.0,0.0,-0.133
1784002182.2266858,1,3.01200008392334,,inf,0,1.0,0.0,-0.112
1784002182.2755756,1,3.01200008392334,,inf,0,1.0,0.0,-0.126
1784002182.3270676,1,3.01200008392334,,inf,0,1.0,0.0,-0.105
1784002182.375413,1,2.992000102996826,,inf,0,1.0,0.0,-0.105
1784002182.4269094,1,2.992000102996826,,inf,0,1.0,0.0,-0.112
1784002182.4773338,1,2.9800000190734863,,inf,0,1.0,0.0,-0.126
1784002182.525525,1,2.9800000190734863,,inf,0,1.0,0.0,-0.063
1784002182.5755885,1,2.9800000190734863,,inf,0,1.0,0.0,-0.154
1784002182.6249943,1,2.9600000381469727,,inf,0,1.0,0.0,-0.385
1784002182.674191,1,2.9600000381469727,,inf,0,1.0,0.0,-0.385
1784002182.7245553,1,2.931999921798706,,inf,0,1.0,0.0,-0.385
1784002182.7748275,1,2.931999921798706,,inf,0,1.0,0.0,-0.385
1784002182.825186,1,2.931999921798706,,inf,0,1.0,0.0,-0.385
1784002182.8750408,1,2.9159998893737793,,inf,0,1.0,0.0,-0.385
1784002182.9266999,1,2.9159998893737793,,inf,0,1.0,0.0,-0.385
1784002182.9754448,1,2.9159998893737793,,inf,0,1.0,0.0,-0.385
1784002183.0297787,1,2.9000000953674316,,inf,0,1.0,0.0,-0.385
1784002183.0749116,1,2.9000000953674316,,inf,0,1.0,0.0,-0.385
1784002183.1240466,1,2.864000082015991,,inf,0,1.0,0.0,-0.385
1784002183.17527,1,2.864000082015991,,inf,0,1.0,0.0,-0.385
1784002183.2248995,1,2.8239998817443848,,inf,0,1.0,0.0,-0.385
1784002183.2759736,1,2.8239998817443848,,inf,0,1.0,0.0,-0.385
1784002183.3251371,1,2.8239998817443848,,inf,0,1.0,0.0,-0.385
1784002183.3742375,1,2.7839999198913574,,inf,0,1.0,0.0,-0.385
1784002183.4245794,1,2.7839999198913574,,inf,0,1.0,0.0,-0.385
1784002183.4767072,1,2.7839999198913574,,inf,0,1.0,0.0,-0.385
1784002183.5245378,1,2.747999906539917,,inf,0,1.0,0.0,-0.385
1784002183.5744061,1,2.747999906539917,,inf,0,1.0,0.0,-0.385
1784002183.624571,1,2.7239999771118164,,inf,0,1.0,0.0,-0.385
1784002183.6742723,1,2.7239999771118164,,inf,0,1.0,0.0,-0.385
1784002183.7257075,1,2.7079999446868896,,inf,0,1.0,0.0,-0.385
1784002183.774769,1,2.7079999446868896,,inf,0,1.0,0.0,-0.385
1784002183.8245502,1,2.7079999446868896,,inf,0,1.0,0.0,-0.385
1784002183.8750515,1,2.684000015258789,,inf,0,1.0,0.0,-0.385
1784002183.924836,1,2.684000015258789,,inf,0,1.0,0.0,-0.385
1784002183.975526,1,2.684000015258789,,inf,0,1.0,0.0,-0.385
1784002184.0244958,1,2.6760001182556152,,inf,0,1.0,0.0,-0.385
1784002184.0749133,1,2.6760001182556152,,inf,0,1.0,0.0,-0.385
1784002184.1258957,1,2.680000066757202,,inf,0,1.0,0.0,-0.385
1784002184.1746185,1,2.680000066757202,,inf,0,1.0,0.0,-0.385
1784002184.2270677,1,2.680000066757202,,inf,0,1.0,0.0,-0.385
1784002184.2747824,1,2.684000015258789,,inf,0,1.0,0.0,-0.385
1784002184.3245656,1,2.684000015258789,,inf,0,1.0,0.0,-0.385
1784002184.3788874,1,3.055999994277954,,inf,0,1.0,0.0,0.0
1784002184.4275482,1,3.055999994277954,,inf,0,1.0,0.0,0.0
1784002184.4802918,1,3.055999994277954,,inf,0,1.0,0.0,0.378
1784002184.5263019,1,3.0399999618530273,,inf,0,1.0,0.0,0.028
1784002184.577396,1,3.0399999618530273,,inf,0,1.0,0.0,-0.056
1784002184.6256995,1,3.0,,inf,0,1.0,0.0,-0.056
1784002184.6781206,1,3.0,,inf,0,1.0,0.0,-0.063
1784002184.7270539,1,3.0,,inf,0,1.0,0.0,-0.091
1784002184.7749343,1,3.0,,inf,0,1.0,0.0,0.378
1784002184.8242736,1,3.0,,inf,0,1.0,0.0,0.378
1784002184.8741832,1,2.9639999866485596,,inf,0,1.0,0.0,0.378
1784002184.924102,1,2.9639999866485596,,inf,0,1.0,0.0,0.378
1784002184.9738755,1,2.9639999866485596,,inf,0,1.0,0.0,0.378
1784002185.0239305,1,2.9560000896453857,,inf,0,1.0,0.0,0.378
1784002185.0737433,1,2.9560000896453857,,inf,0,1.0,0.0,0.378
1784002185.123441,1,2.944000005722046,,inf,0,1.0,0.0,0.378
1784002185.1765869,1,2.944000005722046,,inf,0,1.0,0.0,0.378
1784002185.22474,1,2.944000005722046,,inf,0,1.0,0.0,0.378
1784002185.2743683,1,2.931999921798706,,inf,0,1.0,0.0,0.378
1784002185.323618,1,2.931999921798706,,inf,0,1.0,0.0,0.378
1784002185.375491,1,2.9159998893737793,,inf,0,1.0,0.0,0.378
1784002185.4257562,1,2.9159998893737793,,inf,0,1.0,0.0,-0.028
1784002185.477414,1,2.9159998893737793,,inf,0,1.0,0.0,-0.098
1784002185.5247414,1,2.5199999809265137,,inf,0,1.0,0.0,-0.091
1784002185.5763135,1,2.5199999809265137,,inf,0,1.0,0.0,-0.077
1784002185.6275375,1,2.871999979019165,,inf,0,1.0,0.0,-0.07
1784002185.6760578,1,2.871999979019165,,inf,0,1.0,0.0,-0.077
1784002185.7252815,1,2.871999979019165,,inf,0,1.0,0.0,-0.084
1784002185.7774355,1,2.8559999465942383,,inf,0,1.0,0.0,-0.084
1784002185.8279428,1,2.8559999465942383,,inf,0,1.0,0.0,-0.091
1784002185.8780787,1,2.8399999141693115,,inf,0,1.0,0.0,-0.091
1784002185.9245272,1,2.8399999141693115,,inf,0,1.0,0.0,-0.091
1784002185.9755366,1,2.8399999141693115,,inf,0,1.0,0.0,-0.098
1784002186.024905,1,2.815999984741211,,inf,0,1.0,0.0,-0.098
1784002186.0751278,1,2.815999984741211,,inf,0,1.0,0.0,-0.098
1784002186.1271145,1,2.799999952316284,,inf,0,1.0,0.0,-0.14
1784002186.1757748,1,2.799999952316284,,inf,0,1.0,0.0,-0.385
1784002186.22511,1,2.799999952316284,,inf,0,1.0,0.0,-0.385
1784002186.2740724,1,2.7799999713897705,,inf,0,1.0,0.0,-0.385
1784002186.3254669,1,2.7799999713897705,,inf,0,1.0,0.0,-0.385
1784002186.374374,1,2.7799999713897705,,inf,0,1.0,0.0,-0.385
1784002186.4243338,1,2.75600004196167,,inf,0,1.0,0.0,-0.385
1784002186.4748178,1,2.75600004196167,,inf,0,1.0,0.0,-0.385
1784002186.5263119,1,2.7360000610351562,,inf,0,1.0,0.0,-0.028
1784002186.5754995,1,2.7360000610351562,,inf,0,1.0,0.0,-0.112
1784002186.6250463,1,2.7360000610351562,,inf,0,1.0,0.0,-0.105
1784002186.6754777,1,2.7239999771118164,,inf,0,1.0,0.0,-0.098
1784002186.7260935,1,2.7239999771118164,,inf,0,1.0,0.0,-0.084
1784002186.7756176,1,2.687999963760376,,inf,0,1.0,0.0,-0.077
1784002186.8253703,1,2.687999963760376,,inf,0,1.0,0.0,-0.077
1784002186.8764267,1,2.687999963760376,,inf,0,1.0,0.0,-0.07
1784002186.9267344,1,2.6679999828338623,,inf,0,1.0,0.0,-0.084
1784002186.9759011,1,2.6679999828338623,,inf,0,1.0,0.0,-0.07
1784002187.0255864,1,2.6679999828338623,,inf,0,1.0,0.0,-0.161
1784002187.0750203,1,2.6679999828338623,,inf,0,1.0,0.0,-0.196
1784002187.1251647,1,2.6679999828338623,,inf,0,1.0,0.0,-0.196
1784002187.1809385,1,2.6559998989105225,,inf,0,1.0,0.0,-0.182
1784002187.2293103,1,2.6559998989105225,,inf,0,1.0,0.0,-0.14
1784002187.2761848,1,2.747999906539917,,inf,0,1.0,0.0,-0.077
1784002187.3257444,1,2.747999906539917,,inf,0,1.0,0.0,-0.035
1784002187.3747602,1,2.747999906539917,,inf,0,1.0,0.0,0.364
1784002187.4240115,1,2.671999931335449,,inf,0,1.0,0.0,0.364
1784002187.4759493,1,2.671999931335449,,inf,0,1.0,0.0,0.364
1784002187.5279942,1,2.2760000228881836,,inf,0,1.0,0.0,-0.049
1784002187.5757587,1,2.2760000228881836,,inf,0,1.0,0.0,-0.126
1784002187.6245048,1,2.2760000228881836,,inf,0,1.0,0.0,-0.126
1784002187.674926,1,2.240000009536743,,inf,0,1.0,0.0,-0.133
1784002187.7247932,1,2.240000009536743,,inf,0,1.0,0.0,-0.133
1784002187.776195,1,2.24399995803833,,inf,0,1.0,0.0,-0.14
1784002187.8249881,1,2.24399995803833,,inf,0,1.0,0.0,-0.133
1784002187.8740008,1,2.24399995803833,,inf,0,1.0,0.0,-0.133
1784002187.9249241,1,2.559999942779541,,inf,0,1.0,0.0,-0.126
1784002187.9747117,1,2.559999942779541,,inf,0,1.0,0.0,-0.11900000000000001
1784002188.02458,1,2.187999963760376,,inf,0,1.0,0.0,-0.112
1784002188.0746887,1,2.187999963760376,,inf,0,1.0,0.0,-0.147
1784002188.1244352,1,2.187999963760376,,inf,0,1.0,0.0,-0.371
1784002188.173826,1,2.1519999504089355,,inf,0,1.0,0.0,-0.371
1784002188.2240329,1,2.1519999504089355,,inf,0,1.0,0.0,0.364
