timestamp,state,steer,speed,front_dist,offset,event
1783073414.435,WAITING,0.000,0.00,0.00,0.0,RUN_START
1783073414.466,WAITING,0.000,0.00,0.00,0.0,LINE_FOUND
1783073414.527,KEEP_LANE,-0.710,0.22,1.08,0.0,
1783073414.572,KEEP_LANE,-0.186,0.22,1.08,0.0,
1783073414.619,KEEP_LANE,-0.121,0.22,1.08,0.0,
1783073414.668,KEEP_LANE,-0.049,0.22,1.08,0.0,
1783073414.719,KEEP_LANE,-0.110,0.22,1.08,0.0,
1783073414.770,KEEP_LANE,0.031,0.22,1.08,0.0,
1783073414.819,KEEP_LANE,-0.016,0.22,1.09,0.0,
1783073414.869,KEEP_LANE,-0.648,0.22,1.09,0.0,
1783073414.920,KEEP_LANE,-0.095,0.22,1.07,0.0,
1783073414.970,KEEP_LANE,-0.154,0.22,1.07,0.0,
1783073415.020,KEEP_LANE,-0.083,0.22,1.07,0.0,
1783073415.071,KEEP_LANE,-0.143,0.22,1.04,0.0,
1783073415.121,KEEP_LANE,-0.072,0.22,1.04,0.0,
1783073415.170,KEEP_LANE,-0.060,0.22,1.02,0.0,
1783073415.219,KEEP_LANE,-0.048,0.22,1.02,0.0,
1783073415.269,KEEP_LANE,-0.110,0.22,1.02,0.0,
1783073415.320,KEEP_LANE,-0.039,0.22,1.01,0.0,
1783073415.370,KEEP_LANE,-0.028,0.22,1.01,0.0,
1783073415.421,KEEP_LANE,-0.018,0.22,0.99,0.0,
1783073415.470,KEEP_LANE,-0.005,0.22,0.99,0.0,
1783073415.521,KEEP_LANE,-0.066,0.22,0.99,0.0,
1783073415.570,KEEP_LANE,0.007,0.22,0.97,0.0,
1783073415.621,KEEP_LANE,-0.055,0.22,0.97,0.0,
1783073415.669,KEEP_LANE,-0.055,0.22,0.95,0.0,
1783073415.719,KEEP_LANE,0.017,0.22,0.95,0.0,
1783073415.769,KEEP_LANE,-0.044,0.22,0.95,0.0,
1783073415.819,KEEP_LANE,-0.044,0.22,0.93,0.0,
1783073415.870,KEEP_LANE,0.026,0.22,0.93,0.0,
1783073415.924,KEEP_LANE,-0.100,0.22,0.91,0.0,
1783073415.969,KEEP_LANE,0.033,0.22,0.91,0.0,
1783073416.016,KEEP_LANE,-0.033,0.22,0.91,0.0,
1783073416.064,KEEP_LANE,-0.033,0.22,0.89,0.0,
1783073416.114,KEEP_LANE,0.039,0.22,0.89,0.0,
1783073416.164,KEEP_LANE,-0.022,0.22,0.89,0.0,
1783073416.214,KEEP_LANE,0.049,0.22,0.87,0.0,
1783073416.268,KEEP_LANE,-0.011,0.22,0.87,0.0,
1783073416.320,KEEP_LANE,0.057,0.22,0.85,0.0,
1783073416.369,KEEP_LANE,-0.072,0.22,0.85,0.0,
1783073416.420,KEEP_LANE,-0.011,0.22,0.83,0.0,
1783073416.468,KEEP_LANE,-0.011,0.22,0.83,0.0,
1783073416.519,KEEP_LANE,-0.011,0.22,0.83,0.0,
1783073416.569,KEEP_LANE,-0.011,0.22,0.82,0.0,
1783073416.621,KEEP_LANE,0.062,0.22,0.82,0.0,
1783073416.672,KEEP_LANE,0.000,0.22,0.82,0.0,
1783073416.721,KEEP_LANE,0.146,0.22,0.80,0.0,
1783073416.770,KEEP_LANE,0.093,0.22,0.80,0.0,
1783073416.820,KEEP_LANE,1.000,0.22,0.78,0.0,
1783073416.872,KEEP_LANE,-1.000,0.22,0.78,0.0,
1783073416.922,KEEP_LANE,-0.033,0.22,0.78,0.0,
1783073416.970,KEEP_LANE,-0.106,0.22,0.75,0.0,
1783073417.018,KEEP_LANE,-0.044,0.22,0.75,0.0,
1783073417.065,KEEP_LANE,-0.116,0.22,0.74,0.0,
1783073417.115,KEEP_LANE,-0.055,0.22,0.74,0.0,
1783073417.165,KEEP_LANE,-0.055,0.22,0.74,0.0,
1783073417.217,KEEP_LANE,0.015,0.22,0.72,0.0,
1783073417.265,KEEP_LANE,0.469,0.22,0.72,0.0,
1783073417.317,KEEP_LANE,0.102,0.22,0.70,0.0,
1783073417.367,KEEP_LANE,-0.521,0.22,0.70,0.0,
1783073417.419,KEEP_LANE,-0.044,0.22,0.70,0.0,
1783073417.468,KEEP_LANE,-0.044,0.22,0.68,0.0,
1783073417.524,KEEP_LANE,-0.109,0.22,0.68,0.0,
1783073417.570,KEEP_LANE,-0.055,0.22,0.66,0.0,
1783073417.620,KEEP_LANE,0.228,0.22,0.66,0.0,
1783073417.670,KEEP_LANE,-0.152,0.22,0.66,0.0,
1783073417.722,KEEP_LANE,0.036,0.22,0.64,0.0,
1783073417.770,KEEP_LANE,-0.387,0.22,0.64,0.0,
1783073417.821,KEEP_LANE,-0.077,0.22,0.62,0.0,
1783073417.871,KEEP_LANE,-0.077,0.22,0.62,0.0,
1783073417.922,KEEP_LANE,-0.005,0.22,0.62,0.0,
1783073417.971,KEEP_LANE,-0.066,0.22,0.60,0.0,
1783073418.020,KEEP_LANE,0.007,0.22,0.60,0.0,
1783073418.072,KEEP_LANE,0.014,0.22,0.58,0.0,
1783073418.120,KEEP_LANE,0.030,0.22,0.58,0.0,
1783073418.168,KEEP_LANE,0.040,0.22,0.58,0.0,
1783073418.217,KEEP_LANE,-0.022,0.22,0.56,0.0,
1783073418.268,KEEP_LANE,0.049,0.22,0.56,0.0,
1783073418.316,KEEP_LANE,-0.011,0.22,0.56,0.0,
1783073418.369,KEEP_LANE,0.058,0.22,0.54,0.0,
1783073418.418,KEEP_LANE,0.000,0.22,0.54,0.0,
1783073418.468,KEEP_LANE,0.561,0.22,0.53,0.0,
1783073418.516,KEEP_LANE,0.088,0.22,0.53,0.0,
1783073418.567,KEEP_LANE,0.158,0.22,0.53,0.0,
1783073418.631,AVOID_OBSTACLE,1.000,0.22,0.51,22.1,
1783073418.666,AVOID_OBSTACLE,1.000,0.13,0.51,60.0,
1783073418.708,AVOID_OBSTACLE,1.000,0.13,0.49,90.0,
1783073418.757,AVOID_OBSTACLE,1.000,0.13,0.49,120.0,
1783073418.809,AVOID_OBSTACLE,1.000,0.13,0.49,120.0,
1783073418.859,AVOID_OBSTACLE,0.936,0.13,0.47,120.0,
1783073418.908,AVOID_OBSTACLE,1.000,0.13,0.47,120.0,
1783073418.957,AVOID_OBSTACLE,1.000,0.13,0.47,120.0,
1783073419.009,AVOID_OBSTACLE,1.000,0.13,0.46,120.0,
1783073419.059,AVOID_OBSTACLE,1.000,0.13,0.46,120.0,
1783073419.109,AVOID_OBSTACLE,1.000,0.13,0.44,120.0,
1783073419.159,AVOID_OBSTACLE,1.000,0.13,0.44,120.0,
1783073419.209,AVOID_OBSTACLE,1.000,0.13,0.44,120.0,
1783073419.259,AVOID_OBSTACLE,0.227,0.13,0.44,120.0,
1783073419.308,AVOID_OBSTACLE,1.000,0.13,0.44,120.0,
1783073419.359,AVOID_OBSTACLE,0.994,0.13,0.44,120.0,
1783073419.410,AVOID_OBSTACLE,0.970,0.13,0.44,120.0,
1783073419.460,AVOID_OBSTACLE,0.947,0.13,0.44,120.0,
1783073419.510,AVOID_OBSTACLE,0.925,0.13,0.43,120.0,
1783073419.559,AVOID_OBSTACLE,0.902,0.13,0.43,120.0,
1783073419.609,AVOID_OBSTACLE,0.879,0.13,0.41,120.0,
1783073419.658,AVOID_OBSTACLE,0.786,0.13,0.41,120.0,
1783073419.709,AVOID_OBSTACLE,0.829,0.13,0.41,120.0,
1783073419.762,AVOID_OBSTACLE,0.809,0.13,0.40,120.0,
1783073419.810,AVOID_OBSTACLE,0.699,0.13,0.40,120.0,
1783073419.861,AVOID_OBSTACLE,0.749,0.13,0.38,120.0,
1783073419.908,AVOID_OBSTACLE,0.725,0.13,0.38,120.0,
1783073419.959,AVOID_OBSTACLE,0.707,0.13,0.38,120.0,
1783073420.009,AVOID_OBSTACLE,0.683,0.13,0.37,120.0,
1783073420.060,AVOID_OBSTACLE,0.734,0.13,0.37,120.0,
1783073420.110,AVOID_OBSTACLE,0.651,0.13,0.36,120.0,
1783073420.160,AVOID_OBSTACLE,0.627,0.13,0.36,120.0,
1783073420.209,AVOID_OBSTACLE,0.533,0.13,0.36,120.0,
1783073420.261,AVOID_OBSTACLE,0.436,0.13,0.34,120.0,
1783073420.309,AVOID_OBSTACLE,0.671,0.13,0.34,120.0,
1783073420.359,AVOID_OBSTACLE,0.528,0.13,0.33,120.0,
