timestamp,state,steer,speed,front_dist,offset,event
1783072468.775,WAITING,0.000,0.00,0.00,0.0,RUN_START
1783072468.810,WAITING,0.000,0.00,0.00,0.0,LINE_FOUND
1783072468.871,KEEP_LANE,-0.781,0.22,0.81,0.0,
1783072468.921,KEEP_LANE,-0.121,0.22,0.81,0.0,
1783072468.967,KEEP_LANE,-0.121,0.22,0.81,0.0,
1783072469.013,KEEP_LANE,-0.121,0.22,0.81,0.0,
1783072469.058,KEEP_LANE,-0.043,0.22,0.81,0.0,
1783072469.108,KEEP_LANE,-0.110,0.22,0.81,0.0,
1783072469.159,KEEP_LANE,0.030,0.22,0.81,0.0,
1783072469.211,KEEP_LANE,-0.088,0.22,0.80,0.0,
1783072469.259,KEEP_LANE,-0.016,0.22,0.80,0.0,
1783072469.308,KEEP_LANE,0.068,0.22,0.80,0.0,
1783072469.359,KEEP_LANE,-0.055,0.22,0.78,0.0,
1783072469.410,KEEP_LANE,0.084,0.22,0.78,0.0,
1783072469.464,KEEP_LANE,0.034,0.22,0.76,0.0,
1783072469.512,KEEP_LANE,-0.244,0.22,0.76,0.0,
1783072469.560,KEEP_LANE,0.017,0.22,0.76,0.0,
1783072469.607,KEEP_LANE,-0.044,0.22,0.74,0.0,
1783072469.656,KEEP_LANE,-0.044,0.22,0.74,0.0,
1783072469.706,KEEP_LANE,-0.044,0.22,0.74,0.0,
1783072469.756,KEEP_LANE,-0.401,0.22,0.72,0.0,
1783072469.806,KEEP_LANE,-0.099,0.22,0.72,0.0,
1783072469.861,KEEP_LANE,-0.168,0.22,0.70,0.0,
1783072469.906,KEEP_LANE,-0.037,0.22,0.70,0.0,
1783072469.955,KEEP_LANE,-0.099,0.22,0.70,0.0,
1783072470.005,KEEP_LANE,-0.099,0.22,0.68,0.0,
1783072470.055,KEEP_LANE,-0.099,0.22,0.68,0.0,
1783072470.106,KEEP_LANE,-0.099,0.22,0.67,0.0,
1783072470.157,KEEP_LANE,-0.028,0.22,0.67,0.0,
1783072470.208,KEEP_LANE,-0.088,0.22,0.67,0.0,
1783072470.255,KEEP_LANE,-0.088,0.22,0.65,0.0,
1783072470.308,KEEP_LANE,0.608,0.22,0.65,0.0,
1783072470.358,KEEP_LANE,0.092,0.22,0.63,0.0,
1783072470.407,KEEP_LANE,0.105,0.22,0.63,0.0,
1783072470.458,KEEP_LANE,-0.026,0.22,0.63,0.0,
1783072470.507,KEEP_LANE,0.106,0.22,0.61,0.0,
1783072470.556,KEEP_LANE,0.044,0.22,0.61,0.0,
1783072470.609,KEEP_LANE,-0.025,0.22,0.59,0.0,
1783072470.656,KEEP_LANE,0.033,0.22,0.59,0.0,
1783072470.711,KEEP_LANE,0.099,0.22,0.59,0.0,
