timestamp,state,steer,speed,front_dist,offset,event
1784006301.186,WAITING,0.000,0.00,0.00,0.0,RUN_START
1784006301.217,WAITING,0.000,0.00,0.00,0.0,LINE_FOUND
1784006301.307,AVOID_OBSTACLE,0.600,0.22,0.81,12.0,
1784006301.355,AVOID_OBSTACLE,0.832,0.13,0.81,21.2,
1784006301.402,AVOID_OBSTACLE,0.259,0.13,0.81,21.2,
1784006301.451,AVOID_OBSTACLE,0.259,0.13,0.81,21.2,
1784006301.500,AVOID_OBSTACLE,0.050,0.13,0.81,19.6,
1784006301.550,AVOID_OBSTACLE,0.218,0.13,0.81,19.6,
1784006301.597,AVOID_OBSTACLE,-0.007,0.13,0.81,18.7,
1784006301.645,AVOID_OBSTACLE,0.032,0.13,0.81,17.8,
1784006301.693,AVOID_OBSTACLE,0.703,0.13,0.80,17.0,
1784006301.740,AVOID_OBSTACLE,0.111,0.13,0.80,16.1,
1784006301.788,AVOID_OBSTACLE,0.161,0.13,0.80,15.3,
1784006301.836,AVOID_OBSTACLE,0.215,0.13,0.79,15.3,
1784006301.886,AVOID_OBSTACLE,0.215,0.13,0.79,15.3,
1784006301.938,AVOID_OBSTACLE,0.151,0.13,0.79,14.4,
1784006301.987,AVOID_OBSTACLE,0.354,0.13,0.77,14.4,
1784006302.035,AVOID_OBSTACLE,1.000,0.13,0.77,126.6,
1784006302.084,AVOID_OBSTACLE,1.000,0.13,0.76,126.6,
1784006302.134,AVOID_OBSTACLE,1.000,0.13,0.76,126.6,
1784006302.183,AVOID_OBSTACLE,1.000,0.13,0.76,126.6,
1784006302.233,AVOID_OBSTACLE,1.000,0.13,0.76,126.6,
1784006302.282,AVOID_OBSTACLE,1.000,0.13,0.76,126.6,
1784006302.332,AVOID_OBSTACLE,1.000,0.13,0.74,126.6,
1784006302.381,AVOID_OBSTACLE,1.000,0.13,0.74,126.6,
1784006302.431,AVOID_OBSTACLE,1.000,0.13,0.74,126.6,
1784006302.481,AVOID_OBSTACLE,1.000,0.13,0.73,126.6,
1784006302.531,AVOID_OBSTACLE,1.000,0.13,0.73,126.6,
1784006302.581,AVOID_OBSTACLE,1.000,0.13,0.72,126.6,
1784006302.630,AVOID_OBSTACLE,1.000,0.13,0.72,126.6,
1784006302.678,AVOID_OBSTACLE,1.000,0.13,0.72,126.6,
1784006302.726,AVOID_OBSTACLE,1.000,0.13,0.70,126.6,
1784006302.771,AVOID_OBSTACLE,1.000,0.13,0.70,126.6,
1784006302.825,AVOID_OBSTACLE,0.912,0.13,0.70,123.0,
1784006302.873,AVOID_OBSTACLE,0.205,0.13,0.69,111.0,
1784006302.919,AVOID_OBSTACLE,-0.203,0.13,0.69,99.0,
1784006302.966,AVOID_OBSTACLE,-0.279,0.13,0.67,87.0,
1784006303.012,AVOID_OBSTACLE,-0.568,0.13,0.67,75.0,
